Bucket index,Bucket size
0,8
1,6
2,8
3,8
4,5
5,5
6,5
7,8
8,13
9,5
10,10
11,8
12,9
13,8
14,8
15,9
16,6
17,11
18,6
19,5
20,8
21,6
22,8
23,4
24,7
25,8
26,6
27,4
28,6
29,8
30,7
31,5
32,12
33,7
34,10
35,8
36,11
37,3
38,7
39,6
40,6
41,15
42,9
43,8
44,6
45,5
46,7
47,7
48,12
49,12
50,8
51,12
52,8
53,7
54,6
55,5
56,11
57,8
58,5
59,7
60,7
61,8
62,10
63,6
64,10
65,9
66,6
67,7
68,6
69,8
70,13
71,7
72,12
73,7
74,8
75,6
76,9
77,6
78,7
79,5
80,7
81,5
82,8
83,12
84,7
85,8
86,4
87,7
88,10
89,11
90,13
91,8
92,10
93,6
94,7
95,11
96,10
97,7
98,7
99,8
100,12
101,9
102,10
103,11
104,6
105,7
106,5
107,4
108,11
109,6
110,6
111,4
112,10
113,8
114,11
115,14
116,5
117,10
118,7
119,6
120,7
121,8
122,8
123,4
124,8
125,7
126,6
127,9
128,2
129,16
130,9
131,9
132,4
133,5
134,7
135,9
136,7
137,6
138,9
139,1
140,8
141,6
142,12
143,6
144,6
145,12
146,12
147,6
148,4
149,11
150,10
151,8
152,6
153,6
154,4
155,7
156,6
157,10
158,13
159,6
160,7
161,6
162,11
163,5
164,14
165,6
166,7
167,9
168,6
169,7
170,7
171,3
172,8
173,4
174,8
175,11
176,6
177,8
178,3
179,12
180,2
181,8
182,13
183,2
184,9
185,11
186,5
187,7
188,8
189,5
190,7
191,8
192,7
193,7
194,5
195,7
196,8
197,5
198,3
199,9
200,8
201,7
202,9
203,9
204,9
205,6
206,8
207,10
208,6
209,8
210,7
211,9
212,8
213,7
214,9
215,7
216,13
217,9
218,8
219,6
220,8
221,7
222,4
223,8
224,15
225,10
226,5
227,11
228,5
229,11
230,7
231,7
232,8
233,8
234,9
235,7
236,8
237,9
238,11
239,4
240,7
241,7
242,5
243,6
244,4
245,9
246,5
247,6
248,9
249,8
250,7
251,6
252,3
253,6
254,4
255,7
256,8
257,8
258,10
259,6
260,9
261,7
262,9
263,7
264,5
265,11
266,5
267,11
268,6
269,10
270,6
271,15
272,8
273,7
274,6
275,13
276,6
277,6
278,10
279,6
280,9
281,8
282,10
283,6
284,10
285,6
286,9
287,5
288,3
289,4
290,8
291,7
292,11
293,6
294,11
295,6
296,8
297,3
298,2
299,6
300,7
301,7
302,10
303,4
304,5
305,10
306,4
307,7
308,6
309,13
310,8
311,7
312,13
313,5
314,10
315,10
316,12
317,5
318,8
319,8
320,7
321,7
322,13
323,5
324,6
325,8
326,10
327,7
328,6
329,9
330,6
331,7
332,9
333,8
334,8
335,9
336,7
337,8
338,10
339,6
340,8
341,12
342,7
343,10
344,6
345,6
346,4
347,9
348,7
349,7
350,11
351,8
352,8
353,7
354,6
355,7
356,11
357,3
358,12
359,3
360,13
361,7
362,9
363,7
364,8
365,3
366,10
367,5
368,13
369,8
370,8
371,11
372,6
373,4
374,10
375,7
376,7
377,9
378,7
379,7
380,8
381,9
382,8
383,9
384,1
385,8
386,9
387,9
388,10
389,11
390,4
391,11
392,9
393,11
394,3
395,6
396,7
397,4
398,10
399,9
400,9
401,3
402,7
403,2
404,9
405,4
406,9
407,8
408,4
409,6
410,6
411,7
412,10
413,6
414,11
415,7
416,6
417,9
418,8
419,10
420,13
421,9
422,9
423,10
424,3
425,7
426,8
427,7
428,5
429,9
430,7
431,10
432,8
433,12
434,13
435,6
436,6
437,10
438,8
439,5
440,11
441,10
442,4
443,6
444,6
445,7
446,9
447,6
448,8
449,13
450,15
451,5
452,10
453,4
454,5
455,5
456,6
457,7
458,5
459,9
460,11
461,4
462,4
463,4
464,5
465,9
466,9
467,9
468,5
469,9
470,5
471,9
472,9
473,9
474,11
475,9
476,6
477,6
478,9
479,8
480,6
481,8
482,4
483,9
484,8
485,9
486,7
487,9
488,8
489,11
490,6
491,10
492,11
493,8
494,6
495,6
496,5
497,8
498,7
499,8
500,6
501,9
502,9
503,5
504,9
505,6
506,12
507,9
508,10
509,7
510,9
511,10
